,,All Organs,Kidney,Liver,Pancreas,Kidney / Pancreas,Heart,Lung,Heart / Lung,Intestine,VCA - other genitourinary organ,VCA - uterus
All Diagnoses,,"49,065","27,574","12,344",107,804,"4,587","3,490",61,88,1,9
Acute Hepatic Necrosis,,206,0,206,0,0,0,0,0,0,0,0
Alpha-1 - Antitrypsin Deficiency,,47,0,0,0,0,0,47,0,0,0,0
Benign Neoplasms,,144,0,144,0,0,0,0,0,0,0,0
Biliary Atresia,,229,0,229,0,0,0,0,0,0,0,0
Cardiomyopathy,,"2,704",0,0,0,0,"2,693",0,11,0,0,0
Cholestatic Liver Disease/Cirrhosis,,"3,340",0,"3,340",0,0,0,0,0,0,0,0
Congenital Heart Disease,,423,0,0,0,0,409,1,13,0,0,0
"Congenital, Rare, Familial, and Metaboli",,533,532,0,0,1,0,0,0,0,0,0
Coronary Artery Disease,,"1,125",0,0,0,0,"1,122",0,3,0,0,0
Cystic Fibrosis,,56,0,0,0,0,0,56,0,0,0,0
Diabetes,,"8,889","8,079",0,53,757,0,0,0,0,0,0
Emphysema/COPD,,592,0,0,0,0,0,590,2,0,0,0
Functional Bowel Problems,,6,0,0,0,0,0,0,0,6,0,0
Glomerular Disease,,"4,796","4,790",0,0,6,0,0,0,0,0,0
Hypertensive Nephrosclerosis,,"5,182","5,161",0,0,21,0,0,0,0,0,0
Idiopathic Pulmonary Fibrosis,,"1,052",0,0,0,0,0,"1,050",2,0,0,0
Malignant Neoplasms,,"1,418",0,"1,418",0,0,0,0,0,0,0,0
Metabolic Disease,,237,0,237,0,0,0,0,0,0,0,0
Neoplasms,,142,141,0,0,1,0,0,0,0,0,0
Non-Cholestatic Cirrhosis,,"1,162",0,"1,162",0,0,0,0,0,0,0,0
Not Reported,,74,47,3,0,1,5,8,4,0,0,6
Other,,"10,106","3,749","5,605",45,7,174,493,4,25,1,3
Other Cardiac Disease,,1,0,0,0,0,1,0,0,0,0,0
Other Lung Disease,,"1,164",0,0,0,0,0,"1,155",9,0,0,0
Polycystic Kidneys,,"1,963","1,962",0,0,1,0,0,0,0,0,0
Primary Pulmonary Hypertension,,69,0,0,0,0,0,59,10,0,0,0
Renovascular and Other Vascular Disease,,186,186,0,0,0,0,0,0,0,0,0
Retransplant/Graft Failure,,"2,203","2,017",0,9,5,130,31,1,10,0,0
Short Gut Syndrome,,47,0,0,0,0,0,0,0,47,0,0
Tubular and Interstitial Diseases,,914,910,0,0,4,0,0,0,0,0,0
Valvular Heart Disease,,55,0,0,0,0,53,0,2,0,0,0
