diagnosis,organ,count,organ_color
Drug Related Interstitial Nephritis,Kidney,144,#6f8f72
Fabry'S Disease,Kidney,48,#6f8f72
Familial Nephropathy,Kidney,28,#6f8f72
Focal Glomerular Sclerosis (Focal Segmental -. Fs,Kidney,4728,#6f8f72
Goodpasture'S Syndrome,Kidney,87,#6f8f72
Gout,Kidney,8,#6f8f72
Hemolytic Uremic Syndrome,Kidney,168,#6f8f72
Henoch-Schoenlein Purpura,Kidney,22,#6f8f72
Hepatorenal Syndrome,Kidney,768,#6f8f72
Heroin Nephrotoxicity,Kidney,5,#6f8f72
Hiv Nephropathy,Kidney,267,#6f8f72
Hypertensive Nephrosclerosis,Kidney,17947,#6f8f72
Hypoplasia/Dysplasia/Dysgensis/Agenesis,Kidney,544,#6f8f72
Idio/Post-Inf Crescentic Glomerulonephri,Kidney,91,#6f8f72
Iga Nephropathy,Kidney,4336,#6f8f72
Alport'S Syndrome,Kidney,602,#6f8f72
Incidental Carcinoma,Kidney,2,#6f8f72
Lithium Toxicity,Kidney,441,#6f8f72
Lymphoma,Kidney,7,#6f8f72
Malignant Hypertension,Kidney,565,#6f8f72
Medullary Cystic Disease,Kidney,107,#6f8f72
Membranous Glomerulonephritis,Kidney,509,#6f8f72
Membranous Nephropathy,Kidney,478,#6f8f72
Mesangio-Capillary 1. Glomerulonephritis,Kidney,34,#6f8f72
Mesangio-Capillary 2. Glomerulonephritis,Kidney,15,#6f8f72
Amyloidosis,Kidney,207,#6f8f72
Acquired Obstructive Nephropathy,Kidney,564,#6f8f72
Analgesic Nephropathy,Kidney,137,#6f8f72
Myeloma,Kidney,93,#6f8f72
Nephritis,Kidney,297,#6f8f72
Nephrolithiasis,Kidney,248,#6f8f72
Nephronophthisis,Kidney,73,#6f8f72
Anti-Gbm,Kidney,69,#6f8f72
Oxalate Nephropathy (Includes Hereditary Oxalosis,Kidney,109,#6f8f72
Antibiotic-Induced Nephritis,Kidney,19,#6f8f72
Polyarteritis,Kidney,12,#6f8f72
Polycystic Kidneys,Kidney,6196,#6f8f72
Pre-Bmtransplantation Total Body Irradiation,Kidney,4,#6f8f72
Progressive Systemic Sclerosis,Kidney,3,#6f8f72
Prune Belly Syndrome,Kidney,48,#6f8f72
Radiation Nephritis,Kidney,8,#6f8f72
Rapid Progressive Glomerulonephritis (Rpgn),Kidney,129,#6f8f72
Renal Artery Thrombosis,Kidney,13,#6f8f72
Renal Cell Carcinoma,Kidney,225,#6f8f72
Retransplant/Graft Failure,Kidney,6108,#6f8f72
Rheumatoid Arthritis,Kidney,12,#6f8f72
Sarcoidosis,Kidney,64,#6f8f72
Scleroderma,Kidney,30,#6f8f72
Sickle Cell Anemia,Kidney,67,#6f8f72
Systemic Lupus Erythematosus,Kidney,2134,#6f8f72
Thin Basement Membrane Disease,Kidney,76,#6f8f72
Urolithiasis,Kidney,14,#6f8f72
Acute Tubular Necrosis,Kidney,382,#6f8f72
Wegeners Granulomatosis,Kidney,210,#6f8f72
Wilms' Tumor,Kidney,24,#6f8f72
"Other, Specify",Kidney,9861,#6f8f72
Not Reported,Kidney,3718,#6f8f72
Calcineurin Inhibitor Nephrotoxicity,Kidney,806,#6f8f72
Cancer Chemotherapy Induced Nephritis,Kidney,96,#6f8f72
Cholesterol Embolization,Kidney,1,#6f8f72
Chronic Glomerulonephritis Unspecified,Kidney,1015,#6f8f72
Chronic Glomerulosclerosis Unspecified,Kidney,186,#6f8f72
Chronic Nephrosclerosis-Unspecified,Kidney,89,#6f8f72
Chronic Pyelonephritis/Reflux Nephropath,Kidney,344,#6f8f72
Congenital Obstructive Uropathy,Kidney,632,#6f8f72
Cortical Necrosis,Kidney,41,#6f8f72
Cystinosis,Kidney,33,#6f8f72
Diabetes -. Type I. Insulin Dep/Juv Onset,Kidney,6,#6f8f72
Diabetes -. Type II Insulin Dep/Adult Ons,Kidney,8,#6f8f72
Diabetes -. Type II Non-Insulin Dep/Adult,Kidney,3,#6f8f72
Diabetes Mellitus -. Type I,Kidney,3307,#6f8f72
Diabetes Mellitus -. Type II,Kidney,34058,#6f8f72
Diabetes Mellitus -. Type Other /. Unknown,Kidney,198,#6f8f72
Ahn: Type B- Hbsag+,Liver,10,#7c9a92
Ahn: Type C,Liver,3,#7c9a92
Familial Cholestasis: Byler'S Disease,Liver,1,#7c9a92
Familial Cholestasis: Other Specify,Liver,7,#7c9a92
Alcoholic Cirrhosis,Liver,253,#7c9a92
Graft Failure,Liver,98,#7c9a92
Alcoholic Cirrhosis With Hepatitis C,Liver,12,#7c9a92
Metdis: Alpha-1-Antitrypsin Defic A-1-A,Liver,29,#7c9a92
Metdis: Glyc Stor Dis Type I. (Gsd-I),Liver,4,#7c9a92
Metdis: Glyc Stor Dis Type Iv (Gsd-Iv),Liver,1,#7c9a92
Metdis: Hemochromatosis -. Hemosiderosis,Liver,24,#7c9a92
"Metdis: Hyperlipidemia-Ii, Homozygous Hypercholes",Liver,1,#7c9a92
Metdis: Maple Syrup Urine Disease,Liver,15,#7c9a92
Metdis: Other Specify,Liver,29,#7c9a92
"Metdis: Primary Oxalosis/Oxaluria, Hyperoxaluria",Liver,3,#7c9a92
Metdis: Tyrosinemia,Liver,1,#7c9a92
"Metdis: Wilson'S Disease, Other Copper Metabolism",Liver,12,#7c9a92
ACUTE ALCOHOLIC HEPATITIS,Liver,3,#7c9a92
Neonatal Cholestatic Liver Disease,Liver,3,#7c9a92
Neonatal Hepatitis Other Specify,Liver,2,#7c9a92
Plm: Cholangiocarcinoma (Ch-Ca),Liver,46,#7c9a92
