course,player_type,item,holes,day_type,time_of_day,price
Newman,adult,green,18,weekday,regular,35
Newman,adult,green,18,weekday,twilight,25
Newman,adult,green,18,weekend,regular,42
Newman,adult,green,18,weekend,twilight,30
Newman,senior,green,18,weekday,regular,30
Newman,junior,green,18,weekday,regular,20
Kellogg,adult,green,9,weekday,regular,24
Kellogg,adult,green,9,weekday,twilight,18
Kellogg,adult,green,9,weekend,regular,28
Newman,adult,range,0,any,small,6
Newman,adult,range,0,any,medium,9
Newman,adult,range,0,any,large,12
Newman,adult,cart,18,any,any,15
*,*,cart,0,any,any,15
*,*,course_pass,0,any,any,975
*,*,all_inclusive,0,any,any,2300
